subject_id,subject_name,department,credit,semester_id,grade
10967,데이터사이언스입문,데이터과학부,3,1,1
4895,이산구조론,데이터과학부,3,1,2
5949,조사방법론,데이터과학부,3,1,2
10954,R언어,데이터과학부,3,1,2
10997,웹크롤자료분석,데이터과학부,3,1,2
11009,파이썬데이터분석,데이터과학부,3,1,2
1762,데이터베이스,데이터과학부,3,1,3
10955,공공데이터분석,데이터과학부,3,1,3
10970,딥러닝응용1,데이터과학부,3,1,3
11473,회귀분석,데이터과학부,3,1,3
8894,알고리즘,데이터과학부,3,1,4
10576,캡스톤디자인1,데이터과학부,3,1,4
1760,데이터구조,데이터과학부,3,2,2
10953,R데이터분석,데이터과학부,3,2,2
10968,데이터시각화,데이터과학부,3,2,2
11288,딥러닝2,데이터과학부,3,2,2
10971,딥러닝응용2,데이터과학부,3,2,3
10978,머신러닝2,데이터과학부,3,2,3
10989,빅데이터분석,데이터과학부,3,2,3
10990,빅데이터플랫폼,데이터과학부,3,2,3
10577,캡스톤디자인2,데이터과학부,3,2,4
3815,시계열분석,데이터과학부,3,2,4
9018,베이지안통계,데이터과학부,3,2,3
11406,응용통계,데이터과학부,3,2,3
11532,라이프케어빅데이터분석,데이터과학부,3,2,3
7590,확률론,데이터과학부,3,2,2
4931,인공지능,정보통신학과,3,1,3
8150,마이크로컴퓨터실험,정보통신학과,3,1,3
9643,모바일프로그래밍,정보보호,3,1,3
9657,시스템프로그래밍,정보보호,3,1,3
10470,자바프로그래밍,정보통신학과,3,1,3
10486,데이터베이스설계및관리,정보통신학과,3,1,3
10640,정보보안관리1,정보보안,3,1,3
11226,IoT시스템응용및프로그래밍,정보통신학부,3,1,3
7892,웹프로그래밍,정보통신학부,3,1,4
8677,네트워크보안,정보보안,3,1,4
8884,창의적공학설계1,정보통신학부,3,1,4
10488,악성코드분석,정보통신학부,3,1,4
10492,디지털포렌식스,정보통신학부,3,1,4
10576,캡스톤디자인1,정보보안,3,1,4
10585,네트워크프로그래밍,정보보안,3,1,4
11222,AI보안,정보통신학부,3,1,4
1760,데이터구조,정보통신학부,3,1,2
2053,디지털논리설계,정보통신학부,3,1,2
10058,리눅스기초,정보보안,3,1,2
10638,C++,정보보안,3,1,2
10639,자바,정보보안,3,1,2
9639,고급자바프로그래밍,정보보안,3,2,2
1762,데이터베이스,정보보안,3,2,2
9642,데이터베이스보안,정보보안,3,2,4
1765,데이터통신,정보통신,3,2,2
2049,디지털신호처리,정보통신,3,2,2
8893,소프트웨어설계,정보보안,3,2,3
8371,시스템보안,정보보안,3,2,3
10645,시스템보안프로젝트,정보보안,3,2,3
4663,운영체제론,정보통신,3,2,3
11398,웹보안,정보보안,3,2,2
7892,웹프로그래밍,정보통신,3,2,4
11407,인공지능설계및실습,정보통신,3,2,3
10495,인터넷보안프로젝트,정보보안,3,2,3
10643,정보보안관리2,정보보안,3,2,3
6219,집적회로,정보통신,3,2,3
8886,창의적공학설계2,정보통신,3,2,4
10487,침해사고대응,정보보안,3,2,4
10576,캡스톤디자인1,정보통신,3,2,3
10577,캡스톤디자인2,정보보안,3,2,4
6533,컴퓨터구조,정보통신,3,2,2
11437,클라우드보안,정보보안,3,2,4
9635,현대암호응용,정보보안,3,2,2
7695,회로및시스템,정보통신,3,2,2
7806,확률과통계,컴퓨터SW,3,1,2
191,JAVA,컴퓨터SW,3,1,3
1762,데이터베이스,미디어SW,3,1,3
3650,소프트웨어공학,미디어SW,3,1,3
6993,프로그래밍언어론,컴퓨터SW,3,1,3
7892,웹프로그래밍,미디어SW,3,1,3
10612,임베디드소프트웨어실습,컴퓨터SW,3,1,3
4931,인공지능,미디어SW,3,1,4
6522,컴파일러구성,컴퓨터SW,3,1,4
8872,네트워크컴퓨팅,컴퓨터SW,3,1,4
10616,캡스톤설계1,컴퓨터SW,3,1,4
1765,데이터통신,컴퓨터SW,3,1,2
2048,디지털시스템응용및실습,컴퓨터SW,3,1,2
2239,멀티미디어시스템,미디어SW,3,1,2
3498,선형대수학,컴퓨터SW,3,1,2
4686,웹디자인,미디어SW,3,1,2
6544,컴퓨터그래픽스,미디어SW,3,1,2
6994,프로그래밍언어및실습,미디어SW,3,1,2
8893,소프트웨어설계,미디어SW,3,1,2
9657,시스템프로그래밍,컴퓨터SW,3,1,2
10615,IOT 설계실습,컴퓨터SW,3,2,3
1762,데이터베이스,컴퓨터SW,3,2,3
1765,데이터통신,미디어SW,3,2,2
8384,디지털신호및사운드처리,미디어SW,3,2,3
9040,디지털영상처리,컴퓨터SW,3,2,2
8683,리눅스시스템,컴퓨터SW,3,2,2
3098,비주얼언어및실습,컴퓨터SW,3,2,2
8894,알고리즘,미디어SW,3,2,2
4115,알고리즘분석,컴퓨터SW,3,2,3
8898,웹정보시스템,미디어SW,3,2,3
11402,융합소프트웨어,미디어SW,3,2,4
8866,자유전공,컴퓨터SW,3,2,4
5778,정보처리기술,컴퓨터SW,3,2,3
10614,창업실무,컴퓨터SW,3,2,3
10617,캡스톤설계2,미디어SW,3,2,4
8389,컨텐츠제작프로젝트,미디어SW,3,2,3
6532,컴퓨터과학특강,컴퓨터SW,3,2,4
1765,데이터통신,정보보안,3,2,2
6533,컴퓨터구조,정보보안,3,2,2
191,JAVA,미디어SW,3,1,3
3650,소프트웨어공학,컴퓨터SW,3,1,3
3098,비주얼언어및실습,미디어SW,3,2,2
9657,시스템프로그래밍,정보통신학과,3,1,4
