직업ID,직업명,과목코드,과목명,학과,개설학기,개설학년
JOB007,데이터 엔지니어,7806,확률과통계,컴쏘,1,2
JOB008,데이터 분석가,7806,확률과통계,컴쏘,1,2
JOB009,AI 엔지니어,7806,확률과통계,컴쏘,1,2
JOB001,백엔드 개발자(웹사이트),191,JAVA,미디어,1,2
JOB012,앱개발자,191,JAVA,미디어,1,2
JOB001,백엔드 개발자(웹사이트),191,JAVA,컴퓨터SW,1,3
JOB012,앱개발자,191,JAVA,컴퓨터SW,1,3
JOB001,백엔드 개발자(웹사이트),1762,데이터베이스,미디어SW,1,3
JOB005,정보보안 전문가,1762,데이터베이스,미디어SW,1,3
JOB007,데이터 엔지니어,1762,데이터베이스,미디어SW,1,3
JOB008,데이터 분석가,1762,데이터베이스,미디어SW,1,3
JOB001,백엔드 개발자(웹사이트),3650,소프트웨어공학,미디어SW,1,4
JOB002,프론트엔드 개발자(웹사이트),3650,소프트웨어공학,미디어SW,1,4
JOB001,백엔드 개발자(웹사이트),3650,소프트웨어공학,컴퓨터SW,1,3
JOB002,프론트엔드 개발자(웹사이트),3650,소프트웨어공학,컴퓨터SW,1,3
JOB001,백엔드 개발자(웹사이트),6993,프로그래밍언어론,컴퓨터SW,1,3
JOB003,게임 개발자,6993,프로그래밍언어론,컴퓨터SW,1,3
JOB004,임베디드 개발자,6993,프로그래밍언어론,컴퓨터SW,1,3
JOB005,정보보안 전문가,6993,프로그래밍언어론,컴퓨터SW,1,3
JOB009,AI 엔지니어,6993,프로그래밍언어론,컴퓨터SW,1,3
JOB007,데이터 엔지니어,6993,프로그래밍언어론,컴퓨터SW,1,3
JOB011,클라우드 엔지니어,6993,프로그래밍언어론,컴퓨터SW,1,3
JOB012,앱개발자,6993,프로그래밍언어론,컴퓨터SW,1,3
JOB002,프론트엔드 개발자(웹사이트),7892,웹프로그래밍,미디어SW,1,3
JOB013,UI/UX 디자이너,7892,웹프로그래밍,미디어SW,1,3
JOB001,백엔드 개발자(웹사이트),7892,웹프로그래밍,미디어SW,1,3
JOB004,임베디드 개발자,10612,임베디드소프트웨어실습,컴퓨터SW,1,3
JOB005,정보보안 전문가,10612,임베디드소프트웨어실습,컴퓨터SW,1,3
JOB006,네트워크 및 시스템 엔지니어,10612,임베디드소프트웨어실습,컴퓨터SW,1,3
JOB011,클라우드 엔지니어,10612,임베디드소프트웨어실습,컴퓨터SW,1,3
JOB009,AI 엔지니어,4931,인공지능,미디어SW,1,4
JOB010,데이터 사이언티스트,4931,인공지능,미디어SW,1,4
JOB008,데이터 분석가,4931,인공지능,미디어SW,1,4
JOB007,데이터 엔지니어,4931,인공지능,미디어SW,1,4
JOB012,앱개발자,4931,인공지능,미디어SW,1,4
JOB011,클라우드 엔지니어,4931,인공지능,미디어SW,1,4
JOB009,AI 엔지니어,4931,인공지능,미디어SW,1,4
JOB010,데이터 사이언티스트,4931,인공지능,미디어SW,1,4
JOB008,데이터 분석가,4931,인공지능,미디어SW,1,4
JOB007,데이터 엔지니어,4931,인공지능,미디어SW,1,4
JOB012,앱개발자,4931,인공지능,미디어SW,1,4
JOB011,클라우드 엔지니어,4931,인공지능,미디어SW,1,4
JOB004,임베디드 개발자,6522,컴파일러구성,컴퓨터SW,1,4
JOB009,AI 엔지니어,6522,컴파일러구성,컴퓨터SW,1,4
JOB003,게임 개발자,6522,컴파일러구성,컴퓨터SW,1,4
JOB001,백엔드 개발자(웹사이트),6522,컴파일러구성,컴퓨터SW,1,4
JOB011,클라우드 엔지니어,6522,컴파일러구성,컴퓨터SW,1,4
JOB006,네트워크 및 시스템 엔지니어,8872,네트워크컴퓨팅,컴퓨터SW,1,4
JOB001,백엔드 개발자(웹사이트),8872,네트워크컴퓨팅,컴퓨터SW,1,4
JOB011,클라우드 엔지니어,8872,네트워크컴퓨팅,컴퓨터SW,1,4
JOB004,임베디드 개발자,8872,네트워크컴퓨팅,컴퓨터SW,1,4
JOB001,백엔드 개발자(웹사이트),10616,캡스톤설계1,컴퓨터SW,1,4
JOB002,프론트엔드 개발자(웹사이트),10616,캡스톤설계1,컴퓨터SW,1,4
JOB012,앱개발자,10616,캡스톤설계1,컴퓨터SW,1,4
JOB013,UI/UX 디자이너,10616,캡스톤설계1,컴퓨터SW,1,4
JOB003,게임 개발자,10616,캡스톤설계1,컴퓨터SW,1,4
JOB011,클라우드 엔지니어,10616,캡스톤설계1,컴퓨터SW,1,4
JOB006,네트워크 및 시스템 엔지니어,1765,데이터통신,컴퓨터SW,1,2
JOB004,임베디드 개발자,1765,데이터통신,컴퓨터SW,1,2
JOB005,정보보안 전문가,1765,데이터통신,컴퓨터SW,1,2
JOB011,클라우드 엔지니어,1765,데이터통신,컴퓨터SW,1,2
JOB004,임베디드 개발자,2048,디지털시스템응용및실습,컴퓨터SW,1,2
JOB006,네트워크 및 시스템 엔지니어,2048,디지털시스템응용및실습,컴퓨터SW,1,2
JOB003,게임 개발자,2239,멀티미디어시스템,미디어SW,1,2
JOB012,앱개발자,2239,멀티미디어시스템,미디어SW,1,2
JOB002,프론트엔드 개발자(웹사이트),2239,멀티미디어시스템,미디어SW,1,2
JOB013,UI/UX 디자이너,2239,멀티미디어시스템,미디어SW,1,2
JOB009,AI 엔지니어,3498,선형대수학,컴퓨터SW,1,2
JOB010,데이터 사이언티스트,3498,선형대수학,컴퓨터SW,1,2
JOB008,데이터 분석가,3498,선형대수학,컴퓨터SW,1,2
JOB002,프론트엔드 개발자(웹사이트),4686,웹디자인,미디어SW,1,2
JOB013,UI/UX 디자이너,4686,웹디자인,미디어SW,1,2
JOB012,앱개발자,4686,웹디자인,미디어SW,1,2
JOB003,게임 개발자,6544,컴퓨터그래픽스,미디어SW,1,2
JOB013,UI/UX 디자이너,6544,컴퓨터그래픽스,미디어SW,1,2
JOB012,앱개발자,6544,컴퓨터그래픽스,미디어SW,1,2
JOB001,백엔드 개발자(웹사이트),6994,프로그래밍언어및실습,미디어SW,1,2
JOB002,프론트엔드 개발자(웹사이트),6994,프로그래밍언어및실습,미디어SW,1,2
JOB003,게임 개발자,6994,프로그래밍언어및실습,미디어SW,1,2
JOB012,앱개발자,6994,프로그래밍언어및실습,미디어SW,1,2
JOB004,임베디드 개발자,6994,프로그래밍언어및실습,미디어SW,1,2
JOB001,백엔드 개발자(웹사이트),8893,소프트웨어설계,미디어SW,1,2
